validation_rmse, embedding_type, embedding_dimensionality, hidden_layer_dimensions, n_train_samples, learning_rate
1.0686217174325505, lle, 110, (55, 27), 1059257, 0.0001
1.1313702828565697, iterated_svd, 100, (50, 25, 12), 1059257, 0.0001
1.1165768842352397, ids, 130, (65, 32, 16), 1059257, 0.0001
1.104815870006145, iterated_svd, 110, (55,), 1059257, 0.0001
1.116543095918914, ids, 130, (65, 32), 1059257, 0.0001
0.9934559428343194, nmf, 90, (45, 22), 1059257, 0.0001
1.0703716991058474, lle, 120, (60, 30), 1059257, 0.0001
0.9939798052800543, nmf, 110, (55, 27), 1059257, 0.0001
0.9940412540727122, pca, 110, (55, 27), 1059257, 0.0001
1.0703492862307102, lle, 130, (65,), 1059257, 0.0001
0.9938782182417243, svd, 100, (50, 25), 1059257, 0.0001
0.9998727323967008, pca, 130, (65, 32), 1059257, 0.0001
1.1316328651310656, ids, 130, (65,), 1059257, 0.0001
0.9934275994501259, pca, 110, (55, 27, 13), 1059257, 0.0001
1.1346955464230393, iterated_svd, 110, (55, 27), 1059257, 0.0001
1.1166768607742246, ids, 140, (70, 35, 17), 1059257, 0.0001
1.05838549510791, iterated_svd, 130, (65, 32), 1059257, 0.0001
0.9950693292478359, svd, 100, (50, 25, 12), 1059257, 0.0001
1.1208066897007376, iterated_svd, 120, (60,), 1059257, 0.0001
1.1252277021175863, iterated_svd, 120, (60, 30), 1059257, 0.0001
0.9934131479866913, nmf, 100, (50, 25), 1059257, 0.0001
1.0685239058669123, lle, 120, (60, 30, 15), 1059257, 0.0001
1.1370127959992997, iterated_svd, 110, (55, 27, 13), 1059257, 0.0001
1.07186600070623, lle, 140, (70,), 1059257, 0.0001
1.1171282986880027, ids, 140, (70, 35), 1059257, 0.0001
1.0681337549430303, lle, 130, (65, 32), 1059257, 0.0001
0.9934378036151194, pca, 120, (60, 30, 15), 1059257, 0.0001
1.1662677870077827, ids, 150, (75,), 1059257, 0.0001
1.1323169215794413, iterated_svd, 130, (65,), 1059257, 0.0001
1.0685906003046597, lle, 130, (65, 32, 16), 1059257, 0.0001
1.1165489036450362, ids, 140, (70,), 1059257, 0.0001
1.1168604093546686, ids, 150, (75, 37), 1059257, 0.0001
0.9942266946641949, pca, 110, (55,), 1059257, 0.0001
1.1016151047191847, iterated_svd, 140, (70, 35), 1059257, 0.0001
1.1523106529040268, iterated_svd, 120, (60, 30, 15), 1059257, 0.0001
1.0723438206888456, lle, 140, (70, 35, 17), 1059257, 0.0001
1.1165241773266248, ids, 150, (75, 37, 18), 1059257, 0.0001
0.9931290444660164, pca, 130, (65, 32, 16), 1059257, 0.0001
0.9947144595816206, nmf, 100, (50,), 1059257, 0.0001
0.9930303836493761, pca, 120, (60, 30), 1059257, 0.0001
1.0689059098248885, lle, 140, (70, 35), 1059257, 0.0001
0.9938626092569567, nmf, 120, (60,), 1059257, 0.0001
1.0749016816530355, lle, 150, (75,), 1059257, 0.0001
0.9974757704471253, pca, 150, (75, 37, 18), 1059257, 0.0001
0.9936036189383324, nmf, 120, (60, 30, 15), 1059257, 0.0001
0.9937404503376848, nmf, 120, (60, 30), 1059257, 0.0001
1.1442076691921566, iterated_svd, 140, (70,), 1059257, 0.0001
